created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,latitude,longitude,elevation,status
2021-12-22T21:03:57+00:00,1,26.94,12.60,748,,,,,,,,
2021-12-22T21:05:03+00:00,2,27.09,12.44,748,,,,,,,,
2021-12-22T21:06:08+00:00,3,27.10,11.92,748,,,,,,,,
2021-12-22T21:07:14+00:00,4,27.07,11.83,748,,,,,,,,
2021-12-22T21:08:19+00:00,5,26.98,11.93,748,,,,,,,,
2021-12-22T21:09:25+00:00,6,27.02,12.08,748,,,,,,,,
2021-12-22T21:10:30+00:00,7,26.95,11.97,748,,,,,,,,
2021-12-22T21:39:21+00:00,8,26.90,12.96,748,,,,,,,,
2021-12-22T21:40:27+00:00,9,26.88,12.92,748,,,2.09,0.00,,,,
2021-12-23T07:15:50+00:00,10,,13.75,747,,,,,,,,
2021-12-23T07:16:58+00:00,11,,13.69,747,,,2.06,0.00,,,,
2021-12-23T07:37:11+00:00,12,,13.80,747,,,,,,,,
2021-12-23T07:38:20+00:00,13,,13.74,747,,,2.04,0.11,,,,
2021-12-23T07:57:38+00:00,14,,13.61,747,,,,,,,,
2021-12-23T07:58:47+00:00,15,,13.76,747,,,2.05,0.11,,,,
2021-12-23T08:07:51+00:00,16,,13.77,747,,,,,,,,
2021-12-23T08:09:00+00:00,17,,13.65,747,,,,,,,,
2021-12-23T08:10:10+00:00,18,,13.70,747,,,,,,,,
2021-12-23T08:11:20+00:00,19,,13.89,747,,,,,,,,
2021-12-23T08:12:13+00:00,20,27.21,13.83,747,,,,,,,,
2021-12-23T08:13:23+00:00,21,27.18,13.77,747,,,,,,,,
2021-12-23T08:14:32+00:00,22,27.16,14.04,747,,,,,,,,
2021-12-23T08:15:52+00:00,23,27.21,13.72,747,,,,,,,,
2021-12-23T08:17:02+00:00,24,27.24,13.64,747,,,,,,,,
2021-12-23T08:18:11+00:00,25,27.16,13.75,747,,,,,,,,
2021-12-23T08:19:21+00:00,26,27.24,13.78,747,,,,,,,,
2021-12-23T08:20:30+00:00,27,27.19,13.79,747,,,,,,,,
2021-12-23T08:21:40+00:00,28,27.19,13.77,747,,,,,,,,
2021-12-23T08:22:50+00:00,29,27.33,13.71,747,,,,,,,,
2021-12-23T08:23:59+00:00,30,27.29,13.68,747,,,,,,,,
2021-12-23T08:25:09+00:00,31,27.32,13.84,747,,,,,,,,
2021-12-23T08:26:19+00:00,32,27.31,13.83,747,,,,,,,,
2021-12-23T08:27:28+00:00,33,27.26,13.81,747,,,,,,,,
2021-12-23T08:28:38+00:00,34,27.37,13.81,747,,,,,,,,
2021-12-23T08:29:47+00:00,35,27.41,13.81,747,,,,,,,,
2021-12-23T08:30:57+00:00,36,27.51,13.93,747,,,,,,,,
2021-12-23T08:32:06+00:00,37,27.52,13.92,747,,,,,,,,
2021-12-23T08:33:16+00:00,38,27.51,13.94,747,,,,,,,,
2021-12-23T08:34:25+00:00,39,27.56,13.97,747,,,,,,,,
2021-12-23T08:35:35+00:00,40,27.55,13.98,747,,,,,,,,
2021-12-23T08:36:44+00:00,41,27.45,14.10,747,,,,,,,,
2021-12-23T08:37:36+00:00,42,27.47,14.06,747,,,,,,,,
2021-12-23T08:38:46+00:00,43,27.57,14.31,747,,,2.06,0.12,,,,
2021-12-23T09:44:19+00:00,44,26.37,12.19,747,,,,,,,,
2021-12-23T09:45:29+00:00,45,26.31,12.09,747,,,2.05,0.11,,,,
2021-12-23T09:46:38+00:00,46,26.26,12.11,747,,,2.05,0.11,,,,
2021-12-23T10:23:49+00:00,47,27.37,14.28,747,,,,,,,,
2021-12-23T10:24:58+00:00,48,27.40,15.23,747,,,2.03,0.11,,,,
2021-12-23T10:26:08+00:00,49,27.43,14.64,747,,,2.03,0.11,,,,
2021-12-23T10:28:20+00:00,50,27.38,14.98,747,,,,,,,,
2021-12-23T10:29:30+00:00,51,27.37,15.26,746,,,2.06,0.11,,,,
2021-12-23T10:30:39+00:00,52,27.38,15.32,747,,,2.06,0.11,,,,
2021-12-23T10:36:53+00:00,53,27.38,15.70,747,,,,,,,,
2021-12-23T10:38:08+00:00,54,27.29,15.37,747,,,2.06,0.12,,,,
2021-12-23T10:39:27+00:00,55,27.31,15.45,746,1.04,,2.06,0.12,,,,
